Plan ID,Production Date,Physical Area,Material / SKU Code,Material Description,Machine,Shift,Original Output (CS),Current Output (CS),Source,Status
PLN_SYNC_180,5/19/2026,SE,32400,TW_23_M_Dương,Promotion 5 Cap,3,5000,5000,SYNC,ACTIVE
PLN_SYNC_181,5/19/2026,SE,32401,TW_23_M_Lá,Promotion 5 Cap,3,10000,10000,SYNC,ACTIVE
PLN_SYNC_182,5/19/2026,SE,32402,TW_23_M_Hồng,Promotion 5 Cap,3,10000,10000,SYNC,ACTIVE
PLN_SYNC_183,5/19/2026,SE,32403,TW_23_M_Cam,Promotion 5 Cap,3,10000,10000,SYNC,ACTIVE
PLN_SYNC_184,5/19/2026,SE,32581,CAP - SF_24RPP_S_Lá,Promotion 5 Cap,3,15000,15000,SYNC,ACTIVE
PLN_SYNC_185,5/19/2026,SE,32582,CAP - SF_24RPP_S_Tím,Promotion 5 Cap,3,10000,10000,SYNC,ACTIVE
PLN_SYNC_186,5/19/2026,SE,32320,EC_22_RPP_M Dương + CAP,Promotion 5 Cap,3,0,0,SYNC,ACTIVE
PLN_SYNC_187,5/19/2026,SE,32323,EC_22_RPP_M Đỏ + CAP,Promotion 5 Cap,3,0,0,SYNC,ACTIVE
PLN_SYNC_188,5/19/2026,SE,32322,EC_22_RPP_M Tím + CAP,Promotion 5 Cap,3,0,0,SYNC,ACTIVE
PLN_SYNC_189,5/19/2026,SE,32321,EC_22_RPP_M Lá + CAP,Promotion 5 Cap,3,0,0,SYNC,ACTIVE
PLN_SYNC_190,5/19/2026,SE,32136,CC_21_M LA +CAP,Promotion 5 Cap,3,0,0,SYNC,ACTIVE
PLN_SYNC_191,5/19/2026,SE,31377,CCDC_S Trang,Promotion 5 Cap,3,30000,30000,SYNC,ACTIVE
PLN_SYNC_192,5/19/2026,SE,32137,CC_21_M DO +CAP,P1PR0001,3,0,0,SYNC,ACTIVE
PLN_SYNC_193,5/19/2026,SE,32136,CC_21_M LA +CAP,P1PR0001,3,0,0,SYNC,ACTIVE
PLN_SYNC_194,5/20/2026,SE,32138,CC_21_M TIM +CAP,Cap 2,1,34000,34000,SYNC,ACTIVE
PLN_SYNC_195,5/20/2026,SE,32137,CC_21_M DO +CAP,Cap 2,1,0,0,SYNC,ACTIVE
PLN_SYNC_196,5/20/2026,SE,32580,CAP - SF_24RPP_S_Duong,Cap 3,1,34000,34000,SYNC,ACTIVE
PLN_SYNC_197,5/20/2026,SE,32138,CC_21_M TIM +CAP,Cap 4,1,0,0,SYNC,ACTIVE
PLN_SYNC_198,5/20/2026,SE,32135,CC_21_MDUONG +CAP,Cap 4,1,34000,34000,SYNC,ACTIVE
PLN_SYNC_199,5/20/2026,SE,32400,TW_23_M_Dương,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
