SKU Code,SKU Description,Component Code,Component Description,Base Quantity per 1000 CS,UOM
32659,SF Black RPP 25 FHS BK/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32670,SF Black RPP 25 FHS BK/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32671,SF Black RPP 25 FHM BK/BL TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32672,SF Black RPP 25 FHM BK/GN TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32673,SF Black RPP 25 FHM BK/PU TB+CAP18,P11230098,CAP 18 (SLIP CAP),1000,PC
32730,TWISTER BASE 25 FHS CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32731,TWISTER BASE 25 FHS CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32732,TWISTER BASE 25 FHS CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32733,TWISTER BASE 25 FHS CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32734,Twister Base 25 FHM CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32735,Twister Base 25 FHM CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32736,Twister Base 25 FHM CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32737,Twister Base 25 FHM CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC
32790,ZigZag RL 25 FHS AG/Violet TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC
32791,ZigZag RL 25 FHM AG/Violet TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC
155333,PLUS TB ADL CS MU 2PK FHS,P11212765,BC EC 22RPP S 2PK 52MM US,36000,PC
155333,PLUS TB ADL CS MU 2PK FHS,P11251041,STICKER EC 22RPP 32X76 ROLL US,36000,PC
155333,PLUS TB ADL CS MU 2PK FHS,P11270228,Pouch bag EC 22RPP S 2PK 52mm 6Packs US,6000,PC
155333,PLUS TB ADL CS MU 2PK FHS,P11242404,SHIPPER EC 22RPP S 1PK 6Bags 72 US,1000,PC
155333,PLUS TB ADL CS MU 2PK FHS,P11220302,25% PCR PET ROLL 0.3x292mm S5 25kg,197.13,KG
155333,PLUS TB ADL CS MU 2PK FHS,P11270120,Slip Sheet 40x48 0.8MM,10.42,PC
155333,PLUS TB ADL CS MU 2PK FHS,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,3.04,KG
155333,PLUS TB ADL CS MU 2PK FHS,P11270073,OPP TAPE WITH LOGO-910m,0.99,ROL
155809,PLUS TB- ADL 2PK FHM,P11212766,BC EC 22RPP M 2PK 52MM US,36000,PC
155809,PLUS TB- ADL 2PK FHM,P11251041,STICKER EC 22RPP 32X76 ROLL US,36000,PC
155809,PLUS TB- ADL 2PK FHM,P11270229,Pouch bag EC 22RPP M 2PK 52mm 6Packs US,6000,PC
155809,PLUS TB- ADL 2PK FHM,P11242405,SHIPPER EC 22RPP M 1PK 6Bags 72 US,1000,PC
155809,PLUS TB- ADL 2PK FHM,P11220302,25% PCR PET ROLL 0.3x292mm S5 25kg,197.13,KG
155809,PLUS TB- ADL 2PK FHM,P11270120,Slip Sheet 40x48 0.8MM,10.42,PC
155809,PLUS TB- ADL 2PK FHM,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,3.04,KG
155809,PLUS TB- ADL 2PK FHM,P11270073,OPP TAPE WITH LOGO-910m,0.99,ROL
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11242408,SHIPPER K2 YHX 2 Inners 72 US,1000,PC
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270220,Cellopack K2 YHX 205x100 mm US,72000,PC
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11260201,INNER K2 YHX 36 Bags US,2000,PC
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270056,OPP TAPE 4.8cm WITH LOGO,8.29,ROL
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270120,Slip Sheet 40x48 0.8MM,8.334,PC
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.17,KG
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11212590,BC 360RE_23 FHS 4PK 85MM NA,18000,PC
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11242265,SHIPPER 360RE_23 FHS 4PK INNER 72 NA,1000,PC
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11250975,STICKER 360RE_23 65X76 ROLL NA,18000,PC
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11260191,INNER 360RE_23 FHS 4PK 85MM NA,3000,PC
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11220292,PET ROLL 0.4 x 276mm S3,210.15,KG
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11270073,OPP TAPE WITH LOGO-910m,0.79,ROL
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11270120,Slip Sheet 40x48 0.8MM,10,PC
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.8,KG
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11242263,SHIPPER 360RE_23 FHM 4PK INNER 72 US,1000,PC
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11212588,BC 360RE_23 FHM 4PK 85MM US,18000,PC
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11250973,STICKER 360RE_23 FHM 65X76 ROLL US,18000,PC
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11260189,INNER 360RE_23 FHM 4PK 85MM US,3000,PC
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11220292,PET ROLL 0.4 x 276mm S3,210.15,KG
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11270073,OPP TAPE WITH LOGO-910m,0.79,ROL
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11270120,Slip Sheet 40x48 0.8MM,10,PC
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.8,KG
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11212592,BC 360OW_23 FHS 4PK 85MM US,18000,PC
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11242267,SHIPPER 360OW_23 FHS 4PK INNER 72 US,1000,PC
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11250977,STICKER 360OW_23 65X76 ROLL US,18000,PC
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11260192,INNER 360OW_23 FHS 4PK 85MM US,3000,PC
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11220292,PET ROLL 0.4 x 276mm S3,210.15,KG
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11270073,OPP TAPE WITH LOGO-910m,0.79,ROL
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11270120,Slip Sheet 40x48 0.8MM,10,PC
168768,COLG 360 WHTNG TB CS MU FHS 4PK,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.8,KG
1050347,CTBM Classic DClean FH M 2PK PHx144,P11212252,CC 21  FHM BCARD 2PK T2X6 144 PH,72000,PC
1050347,CTBM Classic DClean FH M 2PK PHx144,P11220294,25% PCR PET ROLL 0.35x280mm S6,367.56,KG
1050347,CTBM Classic DClean FH M 2PK PHx144,P11250821,CC 21  FHM STK 2PK 24X76 ROLL 144 PH,72000,PC
1050347,CTBM Classic DClean FH M 2PK PHx144,P11241867,PC 14 FHM SHIPPER 2PK T2X6 144 PH,1000,PC
1050347,CTBM Classic DClean FH M 2PK PHx144,P11230108,Plastic Tray 2x6-42mm,6000,PC
1050347,CTBM Classic DClean FH M 2PK PHx144,P11270079,SHRINK FILM-330mmx15mic-POF-0612,18.9,KG
1050347,CTBM Classic DClean FH M 2PK PHx144,P11270073,OPP TAPE WITH LOGO-910m,1.2,ROL
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11212269,PC 21  FHM BCARD 3PK+C T1X6 72 PH,24000,PC
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11220309,25% PCR PET ROLL 0.3x310 mm S4 25kg,174.4,KG
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11250828,PC 21  FHM STK 3PK+C 50X76MM ROLL  PH,24000,PC
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11230109,Plastic Tray 1x6 - 70 mm,4000,PC
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11270079,SHRINK FILM-330mmx15mic-POF-0612,12.6,KG
1050446,CTBM Premier Clean FH M 3PK+3CAPS PHx72,P11241832,PC 21 FHM SHIPPER 3PK+C T1X6 72 ASIA,1000,PC
