Size Type IM,,Name System,,,Size Type TE,,Name System,,,Status,Area,SKU từ BOM,Check mã C từ BOM - còn chạy,Case When Tableau,,Status,Area,Size Type,,Khu Vực,Material,Size Type,,,,Material / SKU Code,SIZE TYPE,PrimaryConvFactor,Status
C0000000945,HDL_GC09_Size,GC_09,GC09,,C0000005209,TE_EXCL_15_Size,EC_15_S,EXCL_15,,C3,IM,C0000009105,Classic Clean 21 WT/GN FH Handle,WHEN 'C0000000945' THEN 'HDL_GC09_Size',,C3,IM,#N/A,,,,,,,WHEN 'CN01386A' THEN 'HA_S3_4P_Size',CN01386A,HA_S3_4P_Size,72,C5
C0000000946,HDL_GC09_Size,GC_09,GC09,,C0000005548,TE_ECGC_15_Size,ECGC_15_S,ECGC_15,,C3,IM,C0000009106,Classic Clean 21 WT/RD FH Handle,WHEN 'C0000000946' THEN 'HDL_GC09_Size',,C3,IM,#N/A,,,,,,,WHEN '61001754' THEN 'HA_S3_4P_Size',61001754,HA_S3_4P_Size,48,C5
C0000000985,HDL_ZZ AB 09_Size,ZZAB_09,ZZ AB 09,,C0000005549,TE_ECGC_15_Size,ECGC_15_S,ECGC_15,,C3,IM,C0000009107,Classic Clean 21 WT/BL FH Handle,WHEN 'C0000000985' THEN 'HDL_ZZ AB 09_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00921A' THEN 'HA_S3_4P_Size',VN00921A,HA_S3_4P_Size,72,C5
C0000000986,HDL_ZZ AB 09_Size,ZZAB_09,ZZ AB 09,,C0000005550,TE_ECGC_15_Size,ECGC_15_S,ECGC_15,,C3,TE,C0000009112,Classic Clean 21 WT/RD FHS TB,WHEN 'C0000000986' THEN 'HDL_ZZ AB 09_Size',,C3,IM,#N/A,,,,,,,WHEN '312950' THEN 'HA_S3_4P_Size',312950,HA_S3_4P_Size,72,C5
C0000000987,HDL_ZZ AB 09_Size,ZZAB_09,ZZ AB 09,,C0000005631,TE_ECSS_16_Size,ECSS_16_S,ECSS_16,,C3,TE,C0000009113,Classic Clean 21 WT/GN FHS TB,WHEN 'C0000000987' THEN 'HDL_ZZ AB 09_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00874A' THEN 'HA_S3_4P_Size',VN00874A,HA_S3_4P_Size,48,C5
C0000000988,HDL_ZZ AB 09_Size,ZZAB_09,ZZ AB 09,,C0000005632,TE_ECSS_16_Size,ECSS_16_S,ECSS_16,,C3,TE,C0000009114,Classic Clean 21 WT/BL FHS TB,WHEN 'C0000000988' THEN 'HDL_ZZ AB 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN 'VN01265A' THEN 'HA_S3_4P_Size',VN01265A,HA_S3_4P_Size,96,C5
C0000001001,HDL_TF 09_Size,TF 09,TF 09,,C0000005633,TE_ECSS_16_Size,ECSS_16_S,ECSS_16,,C3,TE,C0000009115,Classic Clean 21 WT/PU FHS TB,WHEN 'C0000001001' THEN 'HDL_TF 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61022561' THEN 'HA_S3_4P_Size',61022561,HA_S3_4P_Size,24,C5
C0000001002,HDL_TF 09_Size,TF 09,TF 09,,C0000005634,TE_ECSS_16_Size,ECSS_16_S,ECSS_16,,C3,TE,C0000009120,Classic Clean 21 WT/PU FHM TB,WHEN 'C0000001002' THEN 'HDL_TF 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61015405' THEN 'HA_S3_4P_Size',61015405,HA_S3_4P_Size,96,C3
C0000001003,HDL_TF 09_Size,TF 09,TF 09,,C0000005691,TE_SF_15_Size,SF_15_S,SF_15,,C3,TE,C0000009121,Classic Clean 21 WT/PK FHM TB,WHEN 'C0000001003' THEN 'HDL_TF 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61006594' THEN 'HA_S3_4P_Size',61006594,HA_S3_4P_Size,48,C5
C0000001013,HDL_TPA_09_Size,TA_09,TPA_09,,C0000005692,TE_SF_15_Size,SF_15_S,SF_15,,C3,TE,C0000009122,Classic Clean 21 WT/GN FHM TB,WHEN 'C0000001013' THEN 'HDL_TPA_09_Size',,C3,IM,#N/A,,,,,,,WHEN '1052175' THEN 'HA_S3_4P_Size',1052175,HA_S3_4P_Size,72,C5
C0000001014,HDL_TPA_09_Size,TA_09,TPA_09,,C0000005693,TE_SF_15_Size,SF_15_S,SF_15,,C3,TE,C0000009123,Classic Clean 21 WT/BL FHM TB,WHEN 'C0000001014' THEN 'HDL_TPA_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61000481' THEN 'HA_S3_4P_Size',61000481,HA_S3_4P_Size,48,C5
C0000001015,HDL_TPA_09_Size,TA_09,TPA_09,,C0000005695,TE_SF_15_Size,SF15_M,SF_15,,#N/A,SKE,C0000009240,Triple Action 21 OR FH Handle Step1,WHEN 'C0000001015' THEN 'HDL_TPA_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61016400' THEN 'HA_S3_4P_Size',61016400,HA_S3_4P_Size,48,C5
C0000001371,HDL_PK_Size,CP_09,PK,,C0000005696,TE_SF_15_Size,SF15_M,SF_15,,#N/A,SKE,C0000009241,Triple Action 21 GN FH Handle Step1,WHEN 'C0000001371' THEN 'HDL_PK_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN01061A' THEN 'HA_S3_4P_Size',VN01061A,HA_S3_4P_Size,48,C5
C0000001372,HDL_PK_Size,CP_09,PK,,C0000005697,TE_SF_15_Size,SF15_M,SF_15,,#N/A,SKE,C0000009242,Triple Action 21 PK FH Handle Step1,WHEN 'C0000001372' THEN 'HDL_PK_Size',,#N/A,SKE,#N/A,,,,,,,WHEN 'VN00933A' THEN 'HA_S3_4P_Size',VN00933A,HA_S3_4P_Size,72,C5
C0000002049,SKE_TF09 CH_Size,TF09 CH,TF09 CH,,C0000005804,TE_SWAN_19_Size,SWAN,SWAN_19,,#N/A,SKE,C0000009243,Triple Action 21 BL FH Handle Step1,WHEN 'C0000002049' THEN 'SKE_TF09 CH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61008139' THEN 'HA_S3_4P_Size',61008139,HA_S3_4P_Size,96,C5
C0000002050,HDL_TF09 CH_Size,TF09 CH,TF09 CH,,C0000005805,TE_SWAN_19_Size,SWAN,SWAN_19,,C3,IM,C0000009255,Triple Action 21 PK/WT FH Handle Step2,WHEN 'C0000002050' THEN 'HDL_TF09 CH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61000474' THEN 'HA_S3_4P_Size',61000474,HA_S3_4P_Size,24,C3
C0000002051,HDL_TF09 CH_Size,TF09 CH,TF09 CH,,C0000005806,TE_SWAN_19_Size,SWAN,SWAN_19,,C3,IM,C0000009256,Triple Action 21 GN/WT FH Handle Step2,WHEN 'C0000002051' THEN 'HDL_TF09 CH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN 'VN00734A' THEN 'HA_S3_4P_Size',VN00734A,HA_S3_4P_Size,24,C5
C0000002052,HDL_TF09 CH_Size,TF09 CH,TF09 CH,,C0000005825,TE_TW16_Size,TW_16FLAT_S,TW16,,C3,IM,C0000009257,Triple Action 21 OR/WT FH Handle Step2,WHEN 'C0000002052' THEN 'HDL_TF09 CH_Size',,C3,IM,#N/A,,,,,,,WHEN '61006805' THEN 'HA_S3_4P_Size',61006805,HA_S3_4P_Size,48,C5
C0000002053,HDL_TF09 CH_Size,TF09 CH,TF09 CH,,C0000005826,TE_TW16_Size,TW_16FLAT_S,TW16,,C3,IM,C0000009258,Triple Action 21 BL/WT FH Handle Step2,WHEN 'C0000002053' THEN 'HDL_TF09 CH_Size',,C3,IM,#N/A,,,,,,,WHEN '61006596' THEN 'HA_S3_4P_Size',61006596,HA_S3_4P_Size,48,C5
C0000002125,HDL_CC_11_WH_Size,CCDC_11,CC_11_WH,,C0000005827,TE_TW16_Size,TW_16FLAT_S,TW16,,C3,TE,C0000009305,Triple Action 21 OR/WT FHM TB,WHEN 'C0000002125' THEN 'HDL_CC_11_WH_Size',,C3,IM,#N/A,,,,,,,WHEN '61006806' THEN 'HA_S3_4P_Size',61006806,HA_S3_4P_Size,48,C5
C0000002609,SKE_DBA_12_Size,DBA_12,DBA_12,,C0000005829,TE_TW16_Size,TW_16FLAT_M,TW16,,C3,TE,C0000009306,Triple Action 21 GN/WT FHM TB,WHEN 'C0000002609' THEN 'SKE_DBA_12_Size',,C3,IM,#N/A,,,,,,,WHEN '61007297' THEN 'HA_S3_4P_Size',61007297,HA_S3_4P_Size,48,C5
C0000002610,SKE_DBA_12_Size,DBA_12,DBA_12,,C0000005830,TE_TW16_Size,TW_16FLAT_M,TW16,,C3,TE,C0000009307,Triple Action 21 PK/WT FHM TB,WHEN 'C0000002610' THEN 'SKE_DBA_12_Size',,C3,IM,#N/A,,,,,,,WHEN '61006812' THEN 'HA_S3_4P_Size',61006812,HA_S3_4P_Size,48,C5
C0000002611,SKE_DBA_12_Size,DBA_12,DBA_12,,C0000005831,TE_TW16_Size,TW_16FLAT_M,TW16,,C3,TE,C0000009308,Triple Action 21 BL/WT FHM TB,WHEN 'C0000002611' THEN 'SKE_DBA_12_Size',,C3,IM,#N/A,,,,,,,WHEN '61030113' THEN 'HA_S3_4P_Size',61030113,HA_S3_4P_Size,48,C3
C0000002612,SKE_DBA_12_Size,DBA_12,DBA_12,,C0000005895,TE_TW16_Size,TW_16WAVY_M,TW16,,C3,TE,C0000009482,Triple Action 21 OR/WT FHS TB,WHEN 'C0000002612' THEN 'SKE_DBA_12_Size',,C3,IM,#N/A,,,,,,,WHEN '1052196' THEN 'HA_S3_4P_Size',1052196,HA_S3_4P_Size,96,C5
C0000002676,HDL_Kid 5+_Size,K5+,Kid 5+,,C0000005896,TE_TW16_Size,TW_16WAVY_M,TW16,,C3,TE,C0000009483,Triple Action 21 BL/WT FHS TB,WHEN 'C0000002676' THEN 'HDL_Kid 5+_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00876A' THEN 'HA_S3_4P_Size',VN00876A,HA_S3_4P_Size,48,C5
C0000002677,HDL_Kid 5+_Size,K5+,Kid 5+,,C0000005897,TE_TW16_Size,TW_16WAVY_M,TW16,,C3,TE,C0000009484,Triple Action 21 PK/WT FHS TB,WHEN 'C0000002677' THEN 'HDL_Kid 5+_Size',,C3,IM,#N/A,,,,,,,WHEN '61021131' THEN 'HA_S3_4P_Size',61021131,HA_S3_4P_Size,96,C5
C0000002678,HDL_Kid 5+_Size,K5+,Kid 5+,,C0000005898,TE_TW16_Size,TW_16WAVY_M,TW16,,C3,TE,C0000009485,Triple Action 21 GN/WT FHS TB,WHEN 'C0000002678' THEN 'HDL_Kid 5+_Size',,C3,IM,#N/A,,,,,,,WHEN '1052330' THEN 'HA_S3_4P_Size',1052330,HA_S3_4P_Size,24,C5
C0000002686,HDL_Kid 5+_D_Size,KID5+DECAL,Kid 5+_D,,C0000005899,TE_TW16_Size,TW_16WAVY_S,TW16,,C3,TE,C0000009486,Triple Action 21 BL/WT Gum FHS TB,WHEN 'C0000002686' THEN 'HDL_Kid 5+_D_Size',,C3,IM,#N/A,,,,,,,WHEN 'FVN52196' THEN 'HA_S3_4P_Size',FVN52196,HA_S3_4P_Size,96,C5
C0000002687,HDL_Kid 5+_D_Size,KID5+DECAL,Kid 5+_D,,C0000005900,TE_TW16_Size,TW_16WAVY_S,TW16,,C3,TE,C0000009487,Triple Action 21 PK/WT Gum FHS TB,WHEN 'C0000002687' THEN 'HDL_Kid 5+_D_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61009132' THEN 'HA_S3_4P_Size',61009132,HA_S3_4P_Size,96,C3
C0000002688,HDL_Kid 5+_D_Size,KID5+DECAL,Kid 5+_D,,C0000005901,TE_TW16_Size,TW_16WAVY_S,TW16,,C3,TE,C0000009488,Triple Action 21 GN/WT Gum FHS TB,WHEN 'C0000002688' THEN 'HDL_Kid 5+_D_Size',,C3,IM,#N/A,,,,,,,WHEN '61012494' THEN 'HA_S3_4P_Size',61012494,HA_S3_4P_Size,72,C5
C0000002689,HDL_Kid 5+_D_Size,KID5+DECAL,Kid 5+_D,,C0000005902,TE_TW16_Size,TW_16WAVY_S,TW16,,C3,TE,C0000009489,Triple Action 21 OR/WT Gum FHS TB,WHEN 'C0000002689' THEN 'HDL_Kid 5+_D_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00615A' THEN 'HA_S3_4P_Size',VN00615A,HA_S3_4P_Size,48,C5
C0000002811,SKE_TW 13_Size,TW 13,TW 13,,C0000005930,TE_TWGC_16_Size,TWGC_16_S,TWGC_16,,C3,TE,C0000009495,Mid-Tier Age 6+ 21 BL YHX Turtle TB,WHEN 'C0000002811' THEN 'SKE_TW 13_Size',,C3,IM,#N/A,,,,,,,WHEN '1052178' THEN 'HA_S3_4P_Size',1052178,HA_S3_4P_Size,72,C5
C0000002812,HDL_TW 13_Size,TW_13,TW 13,,C0000005931,TE_TWGC_16_Size,TWGC_16_S,TWGC_16,,C3,TE,C0000009496,Mid-Tier Age 6+ 21 BL YHX Octopus TB,WHEN 'C0000002812' THEN 'HDL_TW 13_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00908A' THEN 'HA_S3_4P_Size',VN00908A,HA_S3_4P_Size,72,C5
C0000002813,HDL_TW 13_Size,TW_13,TW 13,,C0000005932,TE_TWGC_16_Size,TWGC_16_S,TWGC_16,,C3,TE,C0000009497,Mid-Tier Age 6+ 21 GN YHX Dolphin TB,WHEN 'C0000002813' THEN 'HDL_TW 13_Size',,C9,IM,#N/A,,,,,,,WHEN '61006808' THEN 'HA_S3_4P_Size',61006808,HA_S3_4P_Size,48,C5
C0000002814,HDL_TW 13_Size,TW_13,TW 13,,C0000005933,TE_TWGC_16_Size,TWGC_16_S,TWGC_16,,C3,TE,C0000009498,Mid-Tier Age 6+ 21 PU YHX Starfish TB,WHEN 'C0000002814' THEN 'HDL_TW 13_Size',,C9,IM,#N/A,,,,,,,WHEN '61003847' THEN 'HA_S3_4P_Size',61003847,HA_S3_4P_Size,24,C5
C0000002815,HDL_TW 13_Size,TW_13,TW 13,,C0000005974,TE_TW16_Size,TW_16FLAT_M,TW16,,C3,IM,C0000009499,Mid-Tier Age 6+ 21 BL YH Turtle DH,WHEN 'C0000002815' THEN 'HDL_TW 13_Size',,C9,IM,#N/A,,,,,,,WHEN 'VN01134A' THEN 'HA_S3_6P_Size',VN01134A,HA_S3_6P_Size,108,C5
C0000002886,HDL_EXCL_13_Size,EC_13,EXCL_13,,C0000005975,TE_TW16_Size,TW_16FLAT_S,TW16,,C3,IM,C0000009500,Mid-Tier Age 6+ 21 BL YH Octopus DH,WHEN 'C0000002886' THEN 'HDL_EXCL_13_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61038992' THEN 'HA_S4_4P_48_Size',61038992,HA_S4_4P_48_Size,48,C5
C0000002887,HDL_EXCL_13_Size,EC_13,EXCL_13,,C0000006029,TE_DBA_16_Size,DA_16_M,DBA_16,,C3,IM,C0000009501,Mid-Tier Age 6+ 21 GN YH Dolphin DH,WHEN 'C0000002887' THEN 'HDL_EXCL_13_Size',,C8,IM,#N/A,,,,,,,WHEN '61053813' THEN 'HA_S4_4P_48_Size',61053813,HA_S4_4P_48_Size,48,C3
C0000002888,HDL_EXCL_13_Size,EC_13,EXCL_13,,C0000006030,TE_DBA_16_Size,DA_16_M,DBA_16,,C3,IM,C0000009502,Mid-Tier Age 6+ 21 PU YH Starfish DH,WHEN 'C0000002888' THEN 'HDL_EXCL_13_Size',,C8,IM,#N/A,,,,,,,WHEN '61040871' THEN 'HA_S4_4P_96_Size',61040871,HA_S4_4P_96_Size,96,C3
C0000002889,HDL_EXCL_13_Size,EC_13,EXCL_13,,C0000006031,TE_DBA_16_Size,DA_16_M,DBA_16,,#N/A,SKE,C0000009829,Pro cuidado 22 CH OR Handle Step 1,WHEN 'C0000002889' THEN 'HDL_EXCL_13_Size',,C8,IM,#N/A,,,,,,,WHEN '61030081' THEN 'HA_S4_TA_24_Size',61030081,HA_S4_TA_24_Size,24,C3
C0000002941,HDL_Kid 2+_Size,K2+,Kid 2+,,C0000006289,TE_TANDY_K_S_Size,K5+_TANDY_S,TANDY_K_S,,#N/A,SKE,C0000009830,Pro cuidado 22 CH PK Handle Step 1,WHEN 'C0000002941' THEN 'HDL_Kid 2+_Size',,C3,IM,#N/A,,,,,,,WHEN '61030123' THEN 'HA_S4_TA_24_Size',61030123,HA_S4_TA_24_Size,24,C5
C0000002942,HDL_Kid 2+_Size,K2+,Kid 2+,,C0000006290,TE_TANDY_K_S_Size,K5+_TANDY_S,TANDY_K_S,,#N/A,SKE,C0000009831,Pro cuidado 22 CH GN Handle Step 1,WHEN 'C0000002942' THEN 'HDL_Kid 2+_Size',,C3,IM,#N/A,,,,,,,WHEN '61030105' THEN 'HA_S4_TA_24_Size',61030105,HA_S4_TA_24_Size,24,C5
C0000002943,HDL_Kid 2+_Size,K2+,Kid 2+,,C0000006291,TE_TANDY_K_S_Size,TANDY_KID_S,TANDY_K_S,,#N/A,SKE,C0000009832,Pro cuidado 22 CH BL Handle Step 1,WHEN 'C0000002943' THEN 'HDL_Kid 2+_Size',,C3,IM,#N/A,,,,,,,WHEN '61030116' THEN 'HA_S4_TA_24_Size',61030116,HA_S4_TA_24_Size,24,C5
C0000002944,HDL_Kid 2+_Size,K2+,Kid 2+,,C0000006292,TE_TANDY_K_S_Size,K5+_TANDY_S,TANDY_K_S,,C3,IM,C0000009837,Pro cuidado 22 CH OR/BK Handle,WHEN 'C0000002944' THEN 'HDL_Kid 2+_Size',,C3,IM,#N/A,,,,,,,WHEN '61055814' THEN 'HA_S4_TA_24_Size',61055814,HA_S4_TA_24_Size,24,C3
C0000003327,HDL_AFH_Size,AFH_13,AFH,,C0000006401,TE_DBA_16_Size,DA_16_H,DBA_16,,C3,IM,C0000009838,Pro cuidado 22 CH PK/BK Handle,WHEN 'C0000003327' THEN 'HDL_AFH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61030120' THEN 'HA_S4_TA_24_Size',61030120,HA_S4_TA_24_Size,24,C5
C0000003328,HDL_AFH_Size,AFH_13,AFH,,C0000006402,TE_DBA_16_Size,DA_16_H,DBA_16,,C3,IM,C0000009839,Pro cuidado 22 CH GN/BK Handle,WHEN 'C0000003328' THEN 'HDL_AFH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61000476' THEN 'HA_S4_TPL+C_Size',61000476,HA_S4_TPL+C_Size,72,C5
C0000003329,HDL_AFH_Size,AFH_13,AFH,,C0000006403,TE_DBA_16_Size,DA_16_H,DBA_16,,C3,IM,C0000009840,Pro cuidado 22 CH BL/BK Handle,WHEN 'C0000003329' THEN 'HDL_AFH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61016710' THEN 'HA_S4_TPL+C_Size',61016710,HA_S4_TPL+C_Size,72,C3
C0000003514,SKE_SF_13_Size,SF_13,SF_13,,C0000006405,TE_AC_17_Size,AC_17_M,AC_17,,C3,TE,C0000009845,Pro cuidado 22 CHM OR/BK TB,WHEN 'C0000003514' THEN 'SKE_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN01295A' THEN 'HA_S4_TPL+C_Size',VN01295A,HA_S4_TPL+C_Size,72,C5
C0000003519,SKE_SF_13_Size,SF_13,SF_13,,C0000006580,TE_EC_GC_17_Size,ECGC_17_S,EC_GC_17,,C3,TE,C0000009846,Pro cuidado 22 CHM PK/BK TB,WHEN 'C0000003519' THEN 'SKE_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00606A' THEN 'HA_S4_TPL+C_Size',VN00606A,HA_S4_TPL+C_Size,72,C3
C0000003520,HDL_SF_13_Size,SF_13,SF_13,,C0000006581,TE_EC_GC_17_Size,ECGC_17_S,EC_GC_17,,C3,TE,C0000009847,Pro cuidado 22 CHM GN/BK TB,WHEN 'C0000003520' THEN 'HDL_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN '61041209' THEN 'HA_S4_TPL+C_Size',61041209,HA_S4_TPL+C_Size,72,C3
C0000003521,HDL_SF_13_Size,SF_13,SF_13,,C0000006582,TE_EC_GC_17_Size,ECGC_17_S,EC_GC_17,,C3,TE,C0000009848,Pro cuidado 22 CHM BL/BK TB,WHEN 'C0000003521' THEN 'HDL_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN '61059202' THEN 'HA_S4_TPL_108_Size',61059202,HA_S4_TPL_108_Size,108,C3
C0000003522,HDL_SF_13_Size,SF_13,SF_13,,C0000006583,TE_EC_GC_17_Size,ECGC_17_S,EC_GC_17,,C3,IM,C0000009964,360 Reimagined 22 AFT WT/BL FH Tuftplate,WHEN 'C0000003522' THEN 'HDL_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN '61016713' THEN 'HA_S4_TPL_108_Size',61016713,HA_S4_TPL_108_Size,108,C5
C0000003534,HDL_SF_13_Size,SF_13,SF_13,,C0000006605,TE_PC_18_Size,PC_18_S,PC_18,,C3,IM,C0000009992,360 Reimagined 22 AFT DBL/WT/BL/WT FH S4,WHEN 'C0000003534' THEN 'HDL_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN '61009130' THEN 'HA_S4_TPL_108_Size',61009130,HA_S4_TPL_108_Size,108,C5
C0000003535,HDL_SF_13_Size,SF_13,SF_13,,C0000006606,TE_PC_18_Size,PC_18_S,PC_18,,C3,IM,C0000009993,360 Reimagined 22 AFT LBL/WT/BL/WT FH S4,WHEN 'C0000003535' THEN 'HDL_SF_13_Size',,C3,IM,#N/A,,,,,,,WHEN '61009155' THEN 'HA_S4_TPL_108_Size',61009155,HA_S4_TPL_108_Size,108,C5
C0000003536,HDL_SF_13_Size,SF_13,SF_13,,C0000006607,TE_PC_18_Size,PC_18_S,PC_18,,C3,IM,C0000009994,360 Reimagined 22 AFT PU/WT/BL/WT FH S4,WHEN 'C0000003536' THEN 'HDL_SF_13_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61057206' THEN 'HA_S4_TPL_108_Size',61057206,HA_S4_TPL_108_Size,108,C3
C0000003658,SKE_SS_14_Size,SS_14,SS_14,,C0000006608,TE_PC_18_Size,PC_18_S,PC_18,,C3,IM,C0000009995,360 Reimagined 22 AFT GN/WT/BL/WT FH S4,WHEN 'C0000003658' THEN 'SKE_SS_14_Size',,,IM,#N/A,,,,,,,WHEN '61016708' THEN 'HA_S4_TPL_108_Size',61016708,HA_S4_TPL_108_Size,108,C3
C0000003659,SKE_SS_14_Size,SS_14,SS_14,,C0000006609,TE_PC_18_Size,PC_18_M,PC_18,,C3,IM,C0000010255,360 RMG Optic White 22 FH WT/WT/PU HDL,WHEN 'C0000003659' THEN 'SKE_SS_14_Size',,,IM,#N/A,,,,,,,WHEN '61057213' THEN 'HA_S4_TPL_120_Size',61057213,HA_S4_TPL_120_Size,120,C3
C0000003660,SKE_SS_14_Size,SS_14,SS_14,,C0000006610,TE_PC_18_Size,PC_18_M,PC_18,,C3,IM,C0000010256,360 RMG Optic White 22 FH WT/WT/GN HDL,WHEN 'C0000003660' THEN 'SKE_SS_14_Size',,,IM,#N/A,,,,,,,WHEN '61009158' THEN 'HA_S4_TPL_120_Size',61009158,HA_S4_TPL_120_Size,120,C5
C0000003662,HDL_SS_14_Size,SS_14,SS_14,,C0000006611,TE_PC_18_Size,PC_18_M,PC_18,,C3,IM,C0000010257,360 RMG Optic White 22 FH WT/WT/BL HDL,WHEN 'C0000003662' THEN 'HDL_SS_14_Size',,,IM,#N/A,,,,,,,WHEN '61057212' THEN 'HA_S4_TPL_144_Size',61057212,HA_S4_TPL_144_Size,144,C3
C0000003663,HDL_SS_14_Size,SS_14,SS_14,,C0000006612,TE_PC_18_Size,PC_18_M,PC_18,,#N/A,SKE,C0000010258,Extra Clean 22 FH RPP PU Skeleton,WHEN 'C0000003663' THEN 'HDL_SS_14_Size',,,IM,#N/A,,,,,,,WHEN 'VN01318A' THEN 'HA_S4_TPL_144_Size',VN01318A,HA_S4_TPL_144_Size,144,C3
C0000003664,HDL_SS_14_Size,SS_14,SS_14,,C0000006687,TE_Kid 5+_US_Size,K5+_OCEAN,Kid 5+_US,,#N/A,SKE,C0000010259,Extra Clean 22 FH RPP PK Skeleton,WHEN 'C0000003664' THEN 'HDL_SS_14_Size',,,IM,#N/A,,,,,,,WHEN '61013737' THEN 'HA_S4_TPL_144_Size',61013737,HA_S4_TPL_144_Size,144,C5
C0000003730,SKE_SS_14_Size,SS_14,SS_14,,C0000006688,TE_Kid 5+_US_Size,K5+_OCEAN,Kid 5+_US,,#N/A,SKE,C0000010260,Extra Clean 22 FH RPP GN Skeleton,WHEN 'C0000003730' THEN 'SKE_SS_14_Size',,,IM,#N/A,,,,,,,WHEN 'VN00668A' THEN 'HA_S4_TPL_36_Size',VN00668A,HA_S4_TPL_36_Size,36,C3
C0000003731,HDL_SS_14_Size,SS_14,SS_14,,C0000006689,TE_Kid 5+_US_Size,K5+_OCEAN,Kid 5+_US,,#N/A,SKE,C0000010261,Extra Clean 22 FH RPP BL Skeleton,WHEN 'C0000003731' THEN 'HDL_SS_14_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61030644' THEN 'HA_S4_TPL_36_Size',61030644,HA_S4_TPL_36_Size,36,C3
C0000003784,SKE_PR_CL_14_Size,PR_CL_14,PR_CL_14,,C0000006690,TE_Kid 5+_US_Size,K5+_OCEAN,Kid 5+_US,,C3,IM,C0000010262,Extra Clean PU/WT 22 FH RPP Handle,WHEN 'C0000003784' THEN 'SKE_PR_CL_14_Size',,,IM,#N/A,,,,,,,WHEN '61035736' THEN 'HA_S4_TPL_36_Size',61035736,HA_S4_TPL_36_Size,36,C3
C0000003785,HDL_PR_CL_14_Size,PC_14,PR_CL_14,,C0000006819,TE_JUNGLE_5+_Size,JUNGLE_5+,JUNGLE_5+,,C3,IM,C0000010263,Extra Clean PK/WT 22 FH RPP Handle,WHEN 'C0000003785' THEN 'HDL_PR_CL_14_Size',,,IM,#N/A,,,,,,,WHEN '61006807' THEN 'HA_S4_TPL_36_Size',61006807,HA_S4_TPL_36_Size,36,C5
C0000003786,HDL_PR_CL_14_Size,PC_14,PR_CL_14,,C0000006820,TE_JUNGLE_5+_Size,JUNGLE_5+,JUNGLE_5+,,C3,IM,C0000010264,Extra Clean GN/WT 22 FH RPP Handle,WHEN 'C0000003786' THEN 'HDL_PR_CL_14_Size',,,IM,#N/A,,,,,,,WHEN '1051509' THEN 'HA_S4_TPL_36_Size',1051509,HA_S4_TPL_36_Size,120,C5
C0000003787,HDL_PR_CL_14_Size,PC_14,PR_CL_14,,C0000006821,TE_JUNGLE_5+_Size,JUNGLE_5+,JUNGLE_5+,,C3,IM,C0000010265,Extra Clean BL/WT 22 FH RPP Handle,WHEN 'C0000003787' THEN 'HDL_PR_CL_14_Size',,,IM,#N/A,,,,,,,WHEN '61006591' THEN 'HA_S4_TPL_36_Size',61006591,HA_S4_TPL_36_Size,36,C5
C0000003788,HDL_PR_CL_14_Size,PC_14,PR_CL_14,,C0000006822,TE_JUNGLE_5+_Size,JUNGLE_5+,JUNGLE_5+,,#N/A,SKE,C0000010271,Twister Base 22 FH CL Handle Step 1,WHEN 'C0000003788' THEN 'HDL_PR_CL_14_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '1052183' THEN 'HA_S4_TPL_36_Size',1052183,HA_S4_TPL_36_Size,108,C5
C0000004745,HDL_123_15_Size,123_15,123_15,,C0000007105,TE_TW_WH_Size,TWWH_18_S,TW_WH,,C3,TE,C0000010278,360 RMG Optic White 22 FHS WT/WT/PU TB,WHEN 'C0000004745' THEN 'HDL_123_15_Size',,,IM,#N/A,,,,,,,WHEN '61048268' THEN 'HA_S4_TPL_36_Size',61048268,HA_S4_TPL_36_Size,36,C3
