Size Type IM,,Name System,,,Size Type TE,,Name System,,,Status,Area,SKU từ BOM,Check mã C từ BOM - còn chạy,Case When Tableau,,Status,Area,Size Type,,Khu Vực,Material,Size Type,,,,Material / SKU Code,SIZE TYPE,PrimaryConvFactor,Status
C0000000146,HDL_TF_Size,TF,TF,,C0000002130,TE_CC_11_WH_Size,CCDC_11_S,CC_11_WH,,C3,IM,C0000004841,Anti Cavity 07 FH Blue Handle,WHEN 'C0000000146' THEN 'HDL_TF_Size',,C3,IM,#N/A,,,,,,,WHEN '61046381' THEN 'HA_S2_P5_120_Size',61046381,HA_S2_P5_120_Size,120,C3
C0000000147,HDL_TF_Size,TF,TF,,C0000002485,TE_Kid 2+_Size,K2+_S,Kid 2+,,C3,IM,C0000004842,Anti Cavity 07 FH Green Handle,WHEN 'C0000000147' THEN 'HDL_TF_Size',,C3,IM,#N/A,,,,,,,WHEN '61046397' THEN 'HA_S2_P5_120_Size',61046397,HA_S2_P5_120_Size,120,C3
C0000000148,HDL_TF_Size,TF,TF,,C0000002486,TE_Kid 2+_Size,K2+_S,Kid 2+,,C3,IM,C0000004843,Anti Cavity 07 FH Red Handle,WHEN 'C0000000148' THEN 'HDL_TF_Size',,C3,IM,#N/A,,,,,,,WHEN '61018853' THEN 'HA_S2_P5_120_Size',61018853,HA_S2_P5_120_Size,120,C5
C0000000149,HDL_TF_Size,TF,TF,,C0000002487,TE_Kid 2+_Size,K2+_S,Kid 2+,,C3,TE,C0000004862,Anti Cavity 07 FH Blue TB,WHEN 'C0000000149' THEN 'HDL_TF_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN01266A' THEN 'HA_S2_P5_120_Size',VN01266A,HA_S2_P5_120_Size,120,C5
C0000000150,HDL_VK_PC_Size,VK_PC,VK_PC,,C0000002488,TE_Kid 2+_Size,,Kid 2+,,C3,TE,C0000004863,Anti Cavity 07 FH Green TB,WHEN 'C0000000150' THEN 'HDL_VK_PC_Size',,C3,IM,#N/A,,,,,,,WHEN '61023929' THEN 'HA_S2_P5_30_Size',61023929,HA_S2_P5_30_Size,30,C5
C0000000151,HDL_VK_CAR_Size,VK_CAR,VK_CAR,,C0000003331,TE_AFH_Size,AFH_13_M,AFH,,C3,TE,C0000004864,Anti Cavity 07 FH Red TB,WHEN 'C0000000151' THEN 'HDL_VK_CAR_Size',,C3,IM,#N/A,,,,,,,WHEN '61017962' THEN 'HA_S2_P5_60_360_Size',61017962,HA_S2_P5_60_360_Size,60,C8
C0000000152,HDL_VK_PD_Size,VK_PD,VK_PD,,C0000003332,TE_AFH_Size,AFH_13_M,AFH,,#N/A,SKE,C0000005071,GUM CLEAN 15 CH WT STEP 1,WHEN 'C0000000152' THEN 'HDL_VK_PD_Size',,C3,IM,#N/A,,,,,,,WHEN '61017963' THEN 'HA_S2_P5_60_360_Size',61017963,HA_S2_P5_60_360_Size,60,C8
C0000000163,HDL_PK_Size,CP_09,PK,,C0000003333,TE_AFH_Size,AFH_13_M,AFH,,C3,IM,C0000005121,GUM CLEAN 15 CH WT/BL HANDLE,WHEN 'C0000000163' THEN 'HDL_PK_Size',,C3,IM,#N/A,,,,,,,WHEN '61005920' THEN 'HA_S2_P5_60_Size',61005920,HA_S2_P5_60_Size,60,C5
C0000000172,HDL_DBA_Size,DBA,DBA,,C0000003523,TE_SF_13_Size,,SF_13,,C3,IM,C0000005122,GUM CLEAN 15 CH WT/GN HANDLE,WHEN 'C0000000172' THEN 'HDL_DBA_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61001116' THEN 'HA_S2_P5_60_Size',61001116,HA_S2_P5_60_Size,60,C5
C0000000245,HDL_SCH_Size,SCH,SCH,,C0000003524,TE_SF_13_Size,,SF_13,,C3,IM,C0000005123,GUM CLEAN 15 CH WT/OR HANDLE,WHEN 'C0000000245' THEN 'HDL_SCH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61008194' THEN 'HA_S2_P5_C_Size',61008194,HA_S2_P5_C_Size,120,C3
C0000000246,HDL_SCH_Size,SCH,SCH,,C0000003525,TE_SF_13_Size,,SF_13,,C3,IM,C0000005124,GUM CLEAN 15 CH WT/PK HANDLE,WHEN 'C0000000246' THEN 'HDL_SCH_Size',,#N/A,SKE,#N/A,,,,,,,WHEN 'VN01325A' THEN 'HA_S2_P5_C_Size',VN01325A,HA_S2_P5_C_Size,120,C5
C0000000247,HDL_SCH_Size,SCH,SCH,,C0000003537,TE_SF_13_Size,SF_13_S,SF_13,,C3,TE,C0000005134,GUM CLEAN 15 CHS WT/BL TB,WHEN 'C0000000247' THEN 'HDL_SCH_Size',,C3,IM,#N/A,,,,,,,WHEN '61004071' THEN 'HA_S2_P5_C_Size',61004071,HA_S2_P5_C_Size,120,C3
C0000000251,HDL_SCH_Size,SCH,SCH,,C0000003538,TE_SF_13_Size,SF_13_S,SF_13,,C3,TE,C0000005135,GUM CLEAN 15 CHS WT/GN TB,WHEN 'C0000000251' THEN 'HDL_SCH_Size',,C3,IM,#N/A,,,,,,,WHEN '61030110' THEN 'HA_S2_P5_C_Size',61030110,HA_S2_P5_C_Size,60,C3
C0000000355,SKE_ZZPLUS_Size,ZZPLUS,ZZPLUS,,C0000003539,TE_SF_13_Size,SF_13_S,SF_13,,C3,TE,C0000005136,GUM CLEAN 15 CHS WT/OR TB,WHEN 'C0000000355' THEN 'SKE_ZZPLUS_Size',,C3,IM,#N/A,,,,,,,WHEN 'VN00878A' THEN 'HA_S2_P5_C_Size',VN00878A,HA_S2_P5_C_Size,60,C5
C0000000356,HDL_ZZPLUS_Size,ZZPLUS,ZZPLUS,,C0000003540,TE_Kid 2+_Size,K2+_S,Kid 2+,,C3,TE,C0000005137,GUM CLEAN 15 CHS WT/PK TB,WHEN 'C0000000356' THEN 'HDL_ZZPLUS_Size',,C3,IM,#N/A,,,,,,,WHEN '1051927' THEN 'HA_S2_P5_C_Size',1051927,HA_S2_P5_C_Size,120,C5
C0000000357,HDL_ZZPLUS_Size,ZZPLUS,ZZPLUS,,C0000003790,TE_PR_CL_14_Size,PC_14_M,PR_CL_14,,C3,IM,C0000006281,MID-TIER AGE 5+ 16 YH BL DR RABBIT DH,WHEN 'C0000000357' THEN 'HDL_ZZPLUS_Size',,C3,IM,#N/A,,,,,,,WHEN '61031719' THEN 'HA_S2_P6_144_Size',61031719,HA_S2_P6_144_Size,144,C5
C0000000358,HDL_ZZPLUS_Size,ZZPLUS,ZZPLUS,,C0000003791,TE_PR_CL_14_Size,PC_14_M,PR_CL_14,,C3,IM,C0000006282,MID-TIER AGE 5+ 16 YH GN DR RABBIT DH,WHEN 'C0000000358' THEN 'HDL_ZZPLUS_Size',,C3,IM,#N/A,,,,,,,WHEN '61038434' THEN 'HA_S2_P6_144_Size',61038434,HA_S2_P6_144_Size,144,C5
C0000000359,HDL_ZZPLUS_Size,ZZPLUS,ZZPLUS,,C0000003792,TE_PR_CL_14_Size,PC_14_M,PR_CL_14,,C3,IM,C0000006284,MID-TIER AGE 5+ 16 YH PU DR RABBIT DH,WHEN 'C0000000359' THEN 'HDL_ZZPLUS_Size',,C3,IM,#N/A,,,,,,,WHEN '61004028' THEN 'HA_S2_P6_288_Size',61004028,HA_S2_P6_288_Size,288,C5
C0000000379,HDL_CL_CLEAN_Size,CL_CLEAN,CL_CLEAN,,C0000003793,TE_PR_CL_14_Size,PC_14_M,PR_CL_14,,C3,TE,C0000006289,MID-TIER AGE 5+ 16 YHX BL DR RABBIT TB,WHEN 'C0000000379' THEN 'HDL_CL_CLEAN_Size',,C3,IM,#N/A,,,,,,,WHEN '1050528' THEN 'HA_S2_P6_288_Size',1050528,HA_S2_P6_288_Size,288,C3
C0000000380,HDL_CL_CLEAN_Size,CL_CLEAN,CL_CLEAN,,C0000004023,TE_PR_CL_14_Size,PC_14_S,PR_CL_14,,C3,TE,C0000006290,MID-TIER AGE 5+ 16 YHX GN DR RABBIT TB,WHEN 'C0000000380' THEN 'HDL_CL_CLEAN_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61057216' THEN 'HA_S2_P6_288_Size',61057216,HA_S2_P6_288_Size,288,C3
C0000000381,HDL_CL_CLEAN_Size,CL_CLEAN,CL_CLEAN,,C0000004024,TE_PR_CL_14_Size,PC_14_S,PR_CL_14,,C3,TE,C0000006292,MID-TIER AGE 5+ 16 YHX PU DR RABBIT TB,WHEN 'C0000000381' THEN 'HDL_CL_CLEAN_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61051039' THEN 'HA_S2_P6_288_Size',61051039,HA_S2_P6_288_Size,288,C5
C0000000382,HDL_CL_CLEAN_Size,CL_CLEAN,CL_CLEAN,,C0000004025,TE_PR_CL_14_Size,PC_14_S,PR_CL_14,,C3,IM,C0000006404,Anti Cavity 17 FH Purple Handle,WHEN 'C0000000382' THEN 'HDL_CL_CLEAN_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61022513' THEN 'HA_S2_P6_288_Size',61022513,HA_S2_P6_288_Size,288,C3
C0000000455,HDL_SB_Decal_Size,SB_Decal,SB_Decal,,C0000004026,TE_PR_CL_14_Size,PC_14_S,PR_CL_14,,C3,TE,C0000006405,Anti Cavity 17 FH Purple TB,WHEN 'C0000000455' THEN 'HDL_SB_Decal_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '1050587' THEN 'HA_S2_P6_288_Size',1050587,HA_S2_P6_288_Size,288,C3
C0000000461,SKE_EXCL_09_Size,EXCL_09,EXCL_09,,C0000004817,TE_PR_CL_14_Size,PC_14_H,PR_CL_14,,C3,IM,C0000007117,Mid-Tier Age 5+ 18 YH Pink Handle,WHEN 'C0000000461' THEN 'SKE_EXCL_09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61023926' THEN 'HA_S2_P6_36_Size',61023926,HA_S2_P6_36_Size,36,C5
C0000000462,HDL_EXCL_09_Size,EC_11,EXCL_09,,C0000004818,TE_PR_CL_14_Size,PC_14_H,PR_CL_14,,C3,IM,C0000007143,Mid-Tier Age 5+ 18 YH PK Dr Rabbit DH,WHEN 'C0000000462' THEN 'HDL_EXCL_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61031445' THEN 'HA_S3_3P_144_Size',61031445,HA_S3_3P_144_Size,144,C3
C0000000463,HDL_EXCL_09_Size,EC_11,EXCL_09,,C0000004819,TE_PR_CL_14_Size,PC_14_H,PR_CL_14,,C3,TE,C0000007156,Mid-Tier Age 5+ 18 YHX PK Dr Rabbit TB,WHEN 'C0000000463' THEN 'HDL_EXCL_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61016413' THEN 'HA_S3_3P_Size',61016413,HA_S3_3P_Size,72,C5
C0000000464,HDL_EXCL_09_Size,EC_11,EXCL_09,,C0000004820,TE_PR_CL_14_Size,PC_14_H,PR_CL_14,,#N/A,SKE,C0000007360,Value Taper 19 CH BK Handle Step 1,WHEN 'C0000000464' THEN 'HDL_EXCL_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61049248' THEN 'HA_S3_4P_24_Size',61049248,HA_S3_4P_24_Size,24,C3
